ID;Noun;Gender;Year;Artist
5;Rotkäppchen-Sekt;['Masc'];2022;Die Toten Hosen
5;Refrain;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Scheiß;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Sack;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Scheiß;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Sack;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;daEmbed;['Neut'];2022;Die Toten Hosen
6;Remix;['Masc'];2022;Die Toten Hosen
6;Songtext;['Masc'];2022;Die Toten Hosen
6;Wünsch;['Masc'];2022;Die Toten Hosen
6;Remix;['Masc'];2022;Die Toten Hosen
6;Intro;['Neut'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;woh-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Neut'];2022;Die Toten Hosen
6;Zeit;['Fem'];2022;Die Toten Hosen
6;woh-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Neut'];2022;Die Toten Hosen
6;Ah-ah-ah-ah;['Masc'];2022;Die Toten Hosen
6;woh-ho-ho-ho-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Ah-ah-ah-ah;['Masc'];2022;Die Toten Hosen
6;woh-ho-ho-ho-ho;['Neut'];2022;Die Toten Hosen
6;Wünschen;['Masc'];2022;Die Toten Hosen
6;Wünsch;['Masc'];2022;Die Toten Hosen
6;Strophe;['Fem'];2022;Die Toten Hosen
6;Welt;['Fem'];2022;Die Toten Hosen
6;Böse;['Neut'];2022;Die Toten Hosen
6;Wegen;['Masc'];2022;Die Toten Hosen
