,Noun,Year,Artist,Popularity
223,Kind,2022,Subasa,33
224,Kind,2022,Subasa,33
225,Kind,2022,Subasa,33
226,Kinder,2022,Subasa,33
227,Konzert,2022,RAF Camora,56
228,Polizei,2022,RAF Camora,35
229,Stimme,2022,RAF Camora,39
230,Stimme,2022,RAF Camora,39
231,Konkurrenz,2022,RAF Camora,35
232,Konkurrenz,2022,RAF Camora,35
233,Konkurrenz,2022,RAF Camora,35
234,Konkurrenz,2022,RAF Camora,35
235,Konkurrenz,2022,RAF Camora,35
236,Wache,2022,RAF Camora,35
237,Polizei,2022,RAF Camora,34
238,Kind,2022,RAF Camora,35
239,Kind,2022,RAF Camora,35
240,Kind,2022,RAF Camora,35
241,Konto,2022,RAF Camora,35
242,Konto,2022,RAF Camora,35
243,Konto,2022,RAF Camora,35
244,Fans,2022,RAF Camora,35
245,Fans,2022,RAF Camora,35
246,Fans,2022,RAF Camora,35
247,Nachbarschaft,2022,TripleGo,33
248,Konzert,2022,SDP,55
249,Vater,2022,SDP,55
250,Vorbild,2022,SDP,55
251,Vorbild,2022,SDP,55
252,Vorbild,2022,SDP,55
253,Polizei,2022,SDP,64
254,Gesellschaft,2022,SDP,51
255,Polizei,2022,SDP,46
256,Menschen,2022,SDP,66
257,Schreibtisch,2022,SDP,60
258,Kinder,2022,SDP,60
259,Medien,2022,SDP,45
260,Schreibtisch,2022,SDP,45
261,Polizei,2022,SDP,47
262,Eltern,2022,SDP,68
263,Kommentare,2022,SDP,48
264,Amt,2022,SDP,42
265,Amt,2022,SDP,42
266,Ampel,2022,SDP,42
267,Gesellschaft,2022,SDP,49
268,Gesellschaft,2022,SDP,49
269,Ansage,2019,SDP,31
270,Fans,2019,SDP,49
271,Polizei,2019,SDP,49
272,Stimme,2019,SDP,51
273,Stimme,2019,SDP,51
274,Stimme,2019,SDP,51
275,Stimme,2019,SDP,51
276,Kind,2019,SDP,51
277,Kind,2019,SDP,51
278,Kind,2019,SDP,51
279,Management,2019,SDP,51
280,Chor,2019,SDP,51
281,Chor,2019,SDP,51
282,Chor,2019,SDP,51
283,Kinder,2019,SDP,51
284,Konkurrenz,2019,SDP,54
285,Konkurrenz,2019,SDP,54
286,Konkurrenz,2019,SDP,54
287,Konkurrenz,2019,SDP,54
288,Konkurrenz,2019,SDP,54
289,Ampel,2019,SDP,41
290,Vater,2019,SDP,41
291,Polizei,2019,SDP,41
292,Menschen,2019,SDP,37
293,Menschen,2019,SDP,37
294,Nebenfigur,2019,SDP,58
295,Nebenfigur,2019,SDP,58
296,Polizei,2019,SDP,60
297,Polizei,2019,SDP,60
298,Polizei,2019,SDP,60
299,Polizei,2019,SDP,60
300,Menschen,2019,SDP,37
301,Menschen,2019,SDP,37
302,Menschen,2019,SDP,37
303,Chor,2019,SDP,27
304,Polizei,2019,SDP,27
305,Polizei,2019,SDP,27
306,Kind,2019,SDP,41
307,Kind,2019,SDP,41
308,Kind,2019,SDP,41
309,Kind,2019,SDP,41
