,Noun,Year,Artist
267,Gesellschaft,2022,SDP
268,Gesellschaft,2022,SDP
269,Ansage,2019,SDP
270,Fans,2019,SDP
271,Polizei,2019,SDP
272,Stimme,2019,SDP
273,Stimme,2019,SDP
274,Stimme,2019,SDP
275,Stimme,2019,SDP
276,Kind,2019,SDP
277,Kind,2019,SDP
278,Kind,2019,SDP
279,Management,2019,SDP
280,Chor,2019,SDP
281,Chor,2019,SDP
282,Chor,2019,SDP
283,Kinder,2019,SDP
284,Konkurrenz,2019,SDP
285,Konkurrenz,2019,SDP
286,Konkurrenz,2019,SDP
287,Konkurrenz,2019,SDP
288,Konkurrenz,2019,SDP
289,Ampel,2019,SDP
290,Vater,2019,SDP
291,Polizei,2019,SDP
292,Menschen,2019,SDP
293,Menschen,2019,SDP
294,Nebenfigur,2019,SDP
295,Nebenfigur,2019,SDP
296,Polizei,2019,SDP
297,Polizei,2019,SDP
298,Polizei,2019,SDP
299,Polizei,2019,SDP
300,Menschen,2019,SDP
301,Menschen,2019,SDP
302,Menschen,2019,SDP
303,Chor,2019,SDP
304,Polizei,2019,SDP
305,Polizei,2019,SDP
306,Kind,2019,SDP
307,Kind,2019,SDP
308,Kind,2019,SDP
309,Kind,2019,SDP
310,Kind,2019,SDP
311,Kind,2019,SDP
312,Kind,2019,SDP
313,Kind,2019,SDP
314,Kind,2019,SDP
315,Menschen,2019,SDP
316,Ansage,2019,SDP
317,Publikum,2019,SDP
318,Publikum,2019,SDP
319,Publikum,2019,SDP
320,Publikum,2019,SDP
321,Publikum,2019,SDP
322,Publikum,2019,SDP
323,Publikum,2019,SDP
324,Publikum,2019,SDP
325,Publikum,2019,SDP
326,Publikum,2019,SDP
327,Publikum,2019,SDP
328,Publikum,2019,SDP
329,Publikum,2019,SDP
330,Publikum,2019,SDP
331,Publikum,2019,SDP
332,Publikum,2019,SDP
333,Publikum,2019,SDP
334,Publikum,2019,SDP
335,Polizei,2019,SDP
336,Polizei,2019,SDP
337,Kurs,2019,SDP
338,Universalgenie,2019,SDP
339,Universalgenie,2019,SDP
340,Universalgenie,2019,SDP
341,Fans,2019,SDP
342,Zimmer,2019,SDP
343,Polizei,2019,SDP
344,Menschen,2019,SDP
345,Polizei,2019,SDP
346,Stimmen,2019,SDP
347,Nachtmensch,2019,SDP
348,Polizei,2019,SDP
349,Polizei,2019,SDP
350,Teenager,2019,SDP
351,Nachtmensch,2019,SDP
352,Mensch,2019,SDP
353,Kurs,2019,SDP
354,Universalgenie,2019,SDP
355,Universalgenie,2019,SDP
356,Universalgenie,2019,SDP
357,Fans,2019,SDP
358,Kreis,2022,Sido
359,Unternehmen,2022,Nina Chuba
360,Unternehmen,2022,Nina Chuba
361,Eltern,2022,Nina Chuba
362,Stimme,2022,Florian Künstler
363,Stimme,2022,Florian Künstler
364,Menschen,2023,badmómzjay
365,Menschen,2023,badmómzjay
366,Kamera,2023,badmómzjay
367,Menschen,2023,badmómzjay
368,Stimme,2022,Miksu / Macloud
369,Stimme,2022,Miksu / Macloud
370,Zimmer,2023,LIKA
371,Mensch,2023,Lune
372,Vater,2023,Lune
373,Menschen,2022,SOPHIA
374,Menschen,2023,AnnenMayKantereit
375,Mensch,2023,AnnenMayKantereit
376,Mensch,2023,AnnenMayKantereit
377,Besetzung,2022,Ben Zucker
378,Besetzung,2022,Ben Zucker
379,Kamera,2022,Ben Zucker
380,Mensch,2022,Ben Zucker
381,Reisende,2022,Ben Zucker
382,Reisende,2022,Ben Zucker
383,Reisende,2022,Ben Zucker
384,Menschen,2022,Ben Zucker
385,Menschen,2022,Ben Zucker
386,Menschen,2022,Ben Zucker
387,Menschen,2022,Ben Zucker
388,Figur,2022,Ben Zucker
389,Figur,2022,Ben Zucker
390,Vater,2022,Ben Zucker
391,Kreis,2022,Ben Zucker
392,Team,2022,Ben Zucker
393,Stelle,2022,Ben Zucker
394,Mitglieder,2022,Ben Zucker
395,Mitglieder,2022,Ben Zucker
396,Mitglieder,2022,Ben Zucker
397,Mitglieder,2022,Ben Zucker
398,Mitglieder,2022,Ben Zucker
399,Mitglieder,2022,Ben Zucker
400,Menschen,2022,Ben Zucker
401,Menschen,2022,Ben Zucker
402,Vater,2022,Ben Zucker
403,Mensch,2022,Ben Zucker
404,Zimmer,2022,Ben Zucker
405,Zimmer,2022,Ben Zucker
406,Zimmer,2022,Ben Zucker
407,Zimmer,2022,Ben Zucker
408,Zimmer,2022,Ben Zucker
409,Zimmer,2022,Ben Zucker
410,Kurs,2022,Ben Zucker
411,Stelle,2022,Ben Zucker
412,Hauptfigur,2022,Ben Zucker
413,Handel,2022,Ben Zucker
414,Gesellschaft,2022,Ben Zucker
415,Gesellschaft,2022,Ben Zucker
416,Menschen,2022,Ben Zucker
417,Pause,2022,Miksu / Macloud
418,Mensch,2021,Kool Savas
419,Beziehung,2021,Kool Savas
420,Vater,2021,Kool Savas
421,Kind,2021,Kool Savas
